number,name,form,hundo_cp,hundo_wb_cp,weather0,weather1,raid_tier,type0,type1,shiny_enable
1,Bulbasaur,normal,637,796,Sunny/Clear,Cloudy,1,Grass,Poison,true
2,Ivysaur,normal,970,1213,Sunny/Clear,Cloudy,1,Grass,Poison,true
3,Venusaur,normal,1554,1943,Sunny/Clear,Cloudy,1,Grass,Poison,true
4,Charmander,normal,560,700,Sunny/Clear,None,1,Fire,None,true
5,Charmeleon,normal,944,1180,Sunny/Clear,None,1,Fire,None,true
6,Charizard,normal,1651,2064,Sunny/Clear,Windy,1,Fire,Flying,true
7,Squirtle,normal,540,675,Rainy,None,1,Water,None,true
8,Wartortle,normal,850,1063,Rainy,None,1,Water,None,true
9,Blastoise,normal,1409,1761,Rainy,None,1,Water,None,true
10,Caterpie,normal,249,312,Rainy,None,1,Bug,None,true
11,Metapod,normal,257,321,Rainy,None,1,Bug,None,true
12,Butterfree,normal,1044,1305,Rainy,Windy,1,Bug,Flying,true
13,Weedle,normal,260,325,Rainy,Cloudy,1,Bug,Poison,true
14,Kakuna,normal,246,308,Rainy,Cloudy,1,Bug,Poison,true
15,Beedrill,normal,1054,1318,Rainy,Cloudy,1,Bug,Poison,true
16,Pidgey,normal,388,486,Partly Cloudy,Windy,1,Normal,Flying,true
17,Pidgeotto,normal,682,853,Partly Cloudy,Windy,1,Normal,Flying,true
18,Pidgeot,normal,1216,1521,Partly Cloudy,Windy,1,Normal,Flying,true
19,Rattata,normal,419,524,Partly Cloudy,None,1,Normal,None,true
20,Raticate,normal,989,1236,Partly Cloudy,None,1,Normal,None,true
21,Spearow,normal,456,570,Partly Cloudy,Windy,1,Normal,Flying,true
22,Fearow,normal,1141,1426,Partly Cloudy,Windy,1,Normal,Flying,true
23,Ekans,normal,529,662,Cloudy,None,1,Poison,None,true
24,Arbok,normal,1206,1507,Cloudy,None,1,Poison,None,true
25,Pikachu,normal,536,670,Rainy,None,1,Electric,None,true
26,Raichu,normal,1247,1558,Rainy,None,1,Electric,None,true
27,Sandshrew,normal,720,901,Sunny/Clear,None,1,Ground,None,true
28,Sandslash,normal,1356,1696,Sunny/Clear,None,1,Ground,None,true
29,Nidoran,f,466,583,Cloudy,None,1,Poison,None,true
30,Nidorina,normal,748,935,Cloudy,None,1,Poison,None,true
31,Nidoqueen,normal,1421,1777,Cloudy,Sunny/Clear,1,Poison,Ground,true
32,Nidoran,m,491,614,Cloudy,None,1,Poison,None,true
33,Nidorino,normal,796,995,Cloudy,None,1,Poison,None,true
34,Nidoking,normal,1466,1833,Cloudy,Sunny/Clear,1,Poison,Ground,true
35,Clefairy,normal,660,825,Cloudy,None,1,Fairy,None,true
36,Clefable,normal,1392,1741,Cloudy,None,1,Fairy,None,true
37,Vulpix,normal,504,631,Sunny/Clear,None,1,Fire,None,true
38,Ninetales,normal,1302,1628,Sunny/Clear,None,1,Fire,None,true
39,Jigglypuff,normal,413,517,Partly Cloudy,Cloudy,1,Normal,Fairy,true
40,Wigglytuff,normal,1101,1376,Partly Cloudy,Cloudy,1,Normal,Fairy,true
41,Zubat,normal,381,476,Cloudy,Windy,1,Poison,Flying,true
